nr,name
229,EDITURA ARGONAUT
230,EDITURA CU/ART
231,EDITURA EXCELSIOR ART
232,EDITURA ION IONESCU BRAD
233,EDIZIONI DELLA NORMALE
234,EDIZIONI GUERINI & ASSOC SPA
235,EDIZIONI MINERVA MEDICA
236,EDIZIONI QUASAR S TOGNON SRL
237,EDP SCIENCES S A
238,EDWARD ELGAR PUBLISHING LTD
239,EICK-VERLAG
240,EISENBRAUNS
241,ELSEVIER
242,ELSEVIER ACADEMIC PRESS INC
243,ELSEVIER BUTTERWORTH-HEINEMANN
244,ELSEVIER NORTH HOLLAND
245,ELSEVIER SCIENCE BV
246,ELSEVIER SCIENCE LTD
247,ELSEVIER SCIENCE PUBLISHERS BV BIOMEDICAL DIVISION
248,ELSEVIER SCIENTIFIC PUBL CO
249,ELSEVIER/NORTH-HOLLAND
250,EMBRAPA GADO LEITE
251,EMBRAPA SOJA
252,EMERALD GROUP PUBLISHING LTD
253,EMPIRE STATE EDITIONS
254,ENKE VERLAG
255,EPFL PRESS
256,EQUILIBRIA SRO
257,EQUINOX PUBLISHING LTD
258,ERNST & SOHN VERLAG ARCHITEKTUR & TECHNISCHE WISSENSCHAFTEN GMBH & CO KG
259,ESA PUBLICATIONS DIVISION C/O ESTEC
260,ESFERA CAOS EDITORES LDA
261,EUROPAE ARCHAEOLOGIA CONSILIUM-EAC
262,EUROPEAN ASSOC GEOSCIENTISTS & ENGINEERS
263,EUROPEAN FOREST INSTITUTE
264,EUROPEAN MATHEMATICAL SOC
265,EUROPEAN RESPIRATORY SOCIETY
266,FAC ECONOMICS OSIJEK
267,FERDINAND SCHONINGH
268,FILODIRITTO PUBLISHER
269,FIM DE SECULO-EDICOES
270,FISHERIES & OCEAN CANADA & NATURAL RESOURCES CANADA
271,FLACSO MEXICO-FACULTAD LATINOAMERICANA DE CIENCIAS SOCIALES
272,FLORISTISCH-SOZIOLOGISCHE ARBEITSGEMEINSCHAFT E V
273,FOCAL PRESS
274,FORDHAM UNIV PRESS
275,FOREST HISTORY SOC
276,FORUM ITALICUM
277,FOUQUE LITERATURVERLAG
278,FRANCES LINCOLN
279,FRANZ STEINER VERLAG GMBH
280,FREUND PUBL HOUSE LTD
281,FUNGAL DIVERSITY PRESS CTR RES FUNGAL DIVERSITY
282,GABLER VERLAG/SPRINGER FACHMEDIEN
283,GALLAUDET UNIV PR
284,GANGEMI EDITORE S P A
285,"GARLAND SCIENCE, TAYLOR & FRANCIS"
286,GAUDEAMUS
287,GAUDEAMUS PRESS
288,GEBR BORNTRAEGER VERLAGSBUCHHANDLUNG
289,GEBRUDER BORNTRAEGER
290,GEOLOGICAL SOC AMER INC
291,GEOLOGICAL SOC PUBLISHING HOUSE
292,GEORG THIEME VERLAG
293,GEORGETOWN UNIV PRESS
294,GLASSTREE ACAD PUBLISHING
295,GLOBAL ACADEMIC PUBLISHING
296,GLOBAL ORIENTAL
297,GOECKE & EVERS
298,GOLDSMITHS PRESS
299,GORGIAS PRESS
300,GOWER PUBL CO
301,GREENLEAF PUBLISHING
302,GUILFORD PRESS
303,GULF PROFESSIONAL PUBL
304,GULF PUBL CO
305,GUNTER NARR VERLAG
306,HARMATTAN
307,HARRINGTON PARK PRESS
308,HART PUBL
309,HART PUBLISHING LTD
310,HARVARD UNIV PRESS
311,HAWORTH PRESS INC
312,"HEINZ NIXDORF INST, UNIV PADERBORN"
313,Helm
314,HIGH RATE CONSULTING
315,HINDUSTAN BOOK AGENCY-INDIA
316,HODDER AND STAUGHTON LTD
317,HONG KONG UNIV PRESS
318,HORIZON SCIENTIFIC PRESS
319,HUMANA PRESS INC
320,I B TAURIS & CO LTD
321,IBEROAMERICANA EDITORIAL VERVUERT S L
322,IBIDEM VERLAG
323,IDEA GROUP PUBLISHING
324,IEEE
325,IGI GLOBAL
326,IL POLIGRAFO
327,ILR PRESS
328,IMPERIAL COLL PRESS
329,INDEPENDENT INST
330,INDIAN NATL SCIENCE ACAD
331,INFONORTICS LTD
332,INFORMA HEALTHCARE
333,INFORMATION AGE PUBLISHING-IAP
334,INFORMATION SCIENCE REFERENCE
335,INFORMATION TODAY INC
336,INNSBRUCK UNIV PRESS
337,INST BADAWCZY LESNICTWA
338,INST BOTANICA-SAO PAULO
339,"Inst Czech Literature, Czech Acad Sci"
340,INST ENGINEERING TECH-IET
341,INST INTL POLITICS & ECONOMICS
342,INST LATINOAMERICANO ALTOS ESTUDIOS-ILAE
343,INST LOCAL SELF-GOVERNMENT PUBLIC PROCUREMENT MARIBOR
344,INST NACIONAL SALUD PUBLICA
345,INST NATL ETUDES DEMOGRAPHIQUES ( INED )
346,INST POLITECNICO NACIONAL-IPN
347,"INST SLAVIC STUDIES, POLISH ACAD SCIENCES"
348,INST SOCIOLOGY CZECH ACAD SCIENCES-SOCIOLOGICKY USTAV AV CR
349,INST SOUTHEAST ASIAN STUDIES
350,INSTITUTE STUDY MAN INC
351,INSTYTUT BIOLOGII DOSWIADCZALNEJ IM MARCELGO NENCKIEGO
352,INT BUREAU FISCAL DOCUMENTATION
353,INT FREQUENCY SENSOR ASSOC-IFSA
354,INT GLACIOLOGICAL SOC
355,INT MONETARY FUND
356,INT OCEAN COLOUR COORDINATING GROUP-IOCCG
357,INT ORGANIZATION MIGRATION
358,INT SCIENTIFIC PUBLICATIONS
359,INT SHARIAH RESEARCH ACAD ISLAMIC FINANCE-ISRA
360,INTECH EUROPE
361,INTECHOPEN
362,INTELLECT LTD
363,INTER-AMERICAN DEVELOPMENT BANK
364,International Ocean Discovery Program
365,INTERNATIONAL PRESS INC BOSTON
366,INTERVARSITY PRESS
367,IOP PUBLISHING LTD
368,IOS PRESS
369,ISEAS - YUSOF ISHAK INST
370,ISLAND PRESS
371,"ISTANBUL UNIV PRESS, ISTANBUL UNIV RECTORATE"
372,ISTE LTD
373,IWA PUBLISHING
374,J CRAMER
375,JAI PRESS INC
376,JAI-ELSEVIER LTD
377,JAI-ELSEVIER SCI BV
378,JAI-ELSEVIER SCIENCE INC
379,JB METZLERSCHS VERLAGSBUCH-HANDLUNG
380,Jenny Stanford Publ Pte Ltd
381,JOHANN HEINRICH VON THUNEN INST
382,JOHN BENJAMINS B V PUBL
383,JOHN WILEY & SONS
384,JOHN WILEY & SONS INC
385,JOHN WILEY & SONS LTD
386,JOHN WILEY & SONS SINGAPORE PTE LTD
387,JOHNS HOPKINS UNIV PRESS
388,JONES & BARTLETT PUBLISHERS
389,JOSSEY-BASS
390,JULIUS KUHN-INST
391,JULIUSZ SCHAUDER CTR NONLINEAR STUDIES
392,K G SAUR VERLAG KG
393,KARGER
