nr,name
665,TEL AVIV UNIV DAYAN CENTER SHILOAH INST
666,TEMPLE UNIV PRESS
667,THIEME MEDICAL PUBLISHERS INC
668,TIMES MIRROR / MOSBY COLL PUBL
669,TMC ASSER PRESS
670,TOMAS BATA UNIV ZLIN
671,TRANS TECH PUBLICATIONS LTD
672,TRANSACTION PUBLISHERS
673,TRANSCRIPT VERLAG
674,TRANSNATIONAL PUBS INC
675,TRANSPORT INFRASTRUCTURE & CONSTRUCTION INST LTD
676,TRIVENT PUBLISHER
677,TSINGHUA UNIV
678,TSINGHUA UNIV PRESS
679,TUBA-TURKISH ACAD SCIENCES
680,TURKISH MARINE RESEARCH FOUNDATION-TUDAV
681,TURKIYE KLINIKLERI
682,UDEKOM BALKAN
683,UITGEVERIJ WAANDERS BV
684,UNESCO
685,UNIV ADELAIDE PRESS
686,UNIV AGUSTINIANA
687,UNIV ALASKA PRESS
688,UNIV ALBERTA DEPT ANIMAL SCIENCE
689,UNIV ARKANSAS PRESS
690,UNIV AUTONOMA OCCIDENTE
691,UNIV BASQUE COUNTRY UPV-EHU PRESS
692,"UNIV BELGRADE, FAC SECURITY STUDIES"
693,UNIV BOGOTA JORGE TADEO LOZANO
694,UNIV BOSQUE
695,UNIV BRITISH COLUMBIA PRESS
696,UNIV CADIZ
697,UNIV CALGARY PRESS
698,UNIV CALIFORNIA PRESS
699,UNIV CATOLICA COLOMBIA
700,UNIV CHICAGO PRESS
701,"UNIV CHILE, FACULTY ARTS"
702,UNIV COIMBRA
703,UNIV COOPERATIVE COLOMBIA
704,UNIV DELAWARE
705,UNIV DELAWARE PRESS
706,"UNIV EAST SARAJEVO, FAC MEDICINE"
707,UNIV EXTERNADO COLOMBIA
708,UNIV FLORIDA PRESS
709,UNIV GEORGIA PRESS
710,UNIV GUADALAJARA
711,UNIV HAWAII PRESS
712,UNIV ICESI
713,UNIV ILLINOIS PRESS
714,UNIV INNSBRUCK INST VERGLEICHENDE SPRACHWISSENSCHAFT
715,UNIV KARLOVA
716,UNIV KARLOVA PRAZE
717,"UNIV LJUBLJANI, FAK FILOZOFSKA"
718,UNIV LOS ANDES
719,UNIV MANITOBA
720,UNIV MARIBOR PRESS
721,UNIV MICHIGAN PRESS
722,"UNIV MICHIGAN, MUSEUM ANTHROPOL"
723,UNIV MINNESOTA PRESS
724,UNIV MUSEUM
725,UNIV NAC ABIERTA & DISTANCIA
726,"UNIV NAC COLOMBIA, FAC MEDICINA"
727,UNIV NACIONAL AUTONOMA MEXICO
728,UNIV NEBRASKA PRESS
729,UNIV NEBRASKA-LINCOLN LIBRARIES
730,UNIV NEW HAMPSHIRE PRESS
731,UNIV NEW MEXICO PRESS
732,UNIV NORTE
733,UNIV NORTH CAROLINA PRESS
734,UNIV NORTH TEXAS PRESS
735,UNIV NOTRE DAME PRESS
736,UNIV PALACKEHO V OLOMOUCI
737,UNIV PENNSYLVANIA MUSEUM ARCHAEOLOGY & ANTHROPOLOGY
738,UNIV PENNSYLVANIA PRESS
739,UNIV PITTSBURGH PRESS
740,UNIV POLITECNICA VALENCIA
741,UNIV PRESS COLORADO
742,UNIV PRESS FLORIDA
743,UNIV PRESS KENTUCKY
744,UNIV PRESS MISSISSIPPI
745,UNIV PRESS NEW ENGLAND
746,UNIV PRESS SOUTHERN DENMARK
747,UNIV PRESS VIRGINIA
748,UNIV PUTRA MALAYSIA
749,UNIV REMINGTON FONDO EDITORIAL
750,UNIV ROSARIO
751,UNIV SANTIAGO CALI
752,UNIV SANTO TOMAS
753,"UNIV SAO PAULO, ESCOLA COMUNICACOES & ARTES"
754,UNIV SERGIO ARBOLEDA
755,UNIV SILESIA
756,UNIV SONORA
757,UNIV SS CYRIL & METHODIUS TRNAVA-UCM TRNAVA
758,UNIV TARTU PRESS
759,UNIV TEXAS PRESS
760,UNIV UTARA MALAYSIA PRESS
761,UNIV UTARA MALAYSIA-UUM
762,UNIV VERACRUZANA
763,UNIV WALES PRESS
764,UNIV WARSAW PRESS
765,UNIV WASHINGTON PRESS
766,UNIV WEST BOHEMIA
767,UNIV WINTER GMBH
768,UNIV WISCONSIN PRESS
769,"UNIV ZAGREB, FAC MINING, GEOLOGY & PETROLEUM ENGINEERING"
770,Universitas Press
771,URAL FEDERAL UNIV
772,URBAN LAND INSTITUTE
773,URBANOMIC MEDIA LTD
774,US INST PEACE
775,USDA FOREST SERVICE
776,UTAH STATE UNIV PRESS
777,UTS EPRESS
778,VANDENHOECK & RUPRECHT GMBH
779,VANDERBILT UNIV PRESS
780,VEB VERLAG VOLK GESUNDHEIT BERLIN
781,VERBUM-CATHOLIC UNIV RUZOMBEROK PRESS
782,VERLAG OSTERREICHISCHEN AKAD WISSENSCHAFTEN
783,"VERSITA, VERSITA LTD"
784,VIELLA LIBRERIA EDITRICE
785,VIEWEG-TEUBNER VERLAG GMBH
786,"VILNIUS GEDIMINAS TECHNICAL UNIV PRESS, TECHNIKA"
787,VILNIUS UNIV PRESS
788,"VILNIUS UNIV, DEPT POLYMER CHEMISTRY"
789,VIT KABOUREK
790,VOJNOTEHNICKI INSTITUT
791,VS VERLAG SOZIALWISSENSCHAFTEN-GWV FACHVERLAGE GMBH
792,VSB-TECH UNIV OSTRAVA
793,VYDAVATELSTVI A NAKLADATELSTVI ALES CENEK
794,W BERTELSMANN VERLAG GMBH & CO KG
795,W KOHLHAMMER GMBH STUTTGART
796,WAGENINGEN ACAD PUBL
797,WALTER DE GRUYTER GMBH
798,WELLCOME INST HISTORY MEDICINE
799,WESTDEUTSCHER VERLAG GMBH
800,WHITE HORSE PRESS
801,WHITTLES PUBL SERVICES
802,WHO REGIONAL OFFICE EUROPE
803,WILEY PERIODICALS
804,WILEY-BLACKWELL
805,Wiley-IEEE Press
806,"WILEY-LISS, INC"
807,WILEY-V C H VERLAG GMBH
808,"WILEY-VCH, INC"
809,WILFRID LAURIER UNIV PRESS
810,WILLAN PUBL
811,WILLIAM ANDREW INC
812,WIT PRESS
813,WIT PRESS/COMPUTATIONAL MECHANICS PUBLICATIONS
814,WITS UNIV PRESS
815,WOODHEAD PUBL LTD
816,WOODHEAD PUBLISHING INDIA PVT LTD
817,WORLD BANK INST
818,WORLD CENTURY PUBLISHING CORP
819,WORLD COLL
820,WORLD HEALTH ORGANIZATION
821,WORLD SCIENTIFIC AND ENGINEERING ACAD AND SOC
822,WORLD SCIENTIFIC PUBL CO PTE LTD
823,WORLDWATCH INST
824,WVT WISSENSCHAFTLICHER VERLAG TRIER
825,"WYDAWNICTWO NAUKOWE UAM,"
826,WYDAWNICTWO NAUKOWE UNIW SZCZECINSKIEGO
827,WYDAWNICTWO UNIV JAGIELLONSKEG
828,WYDAWNICTWO UNIV WARMINISKO-MAZURSKIEGO OTSZTYNIE
829,WYDAWNICTWO WYZSZEJ SZKOLY EKONOMICZNO-SPOLECZNEJ & OSTROLECE
830,YALE UNIV PRESS
831,ZALOZBA UNIV PRIMORSKEM/ UNIV PRIMORSKA PRESS
832,ZIP PUBLISHING
833,ZONE BOOKS
834,ZRC PUBLISHING
